N,d,sigma,Ein,Eout
2,1,0.05,0.3352038595016122,0.7866865393351696
2,1,0.2,0.3245754942229256,0.7694278478179083
2,2,0.05,0.34908966577668915,0.9247458808380534
2,2,0.2,0.4783749836991356,0.8627591168481707
2,4,0.05,0.5777073951090446,0.9961050914740407
2,4,0.2,0.5373392374786738,1.1330759350430295
2,8,0.05,0.4891044246206447,1.1942208588464025
2,8,0.2,0.6864642421140608,1.3136794477932845
2,16,0.05,0.7354533355818961,1.4818844614656705
2,16,0.2,0.6998047113664717,1.4086069194017872
2,32,0.05,0.6759413917861751,1.3348581358975744
2,32,0.2,0.9102379492718718,1.6624262694447374
2,64,0.05,0.7447051006714959,2.014229018217377
2,64,0.2,1.0731573994506116,2.6850167135768586
5,1,0.05,0.4701013953181924,0.6538229020695474
5,1,0.2,0.513003695047707,0.6534451487477743
5,2,0.05,0.6012089452496915,0.7117373070087905
5,2,0.2,0.5007255291572213,0.7568189671923605
5,4,0.05,0.6368066283928875,0.8454198429604292
5,4,0.2,0.8063969034061057,0.8562644592480473
5,8,0.05,1.0082589060615152,1.3181780137911812
5,8,0.2,0.912797877529788,1.2061147596759294
5,16,0.05,0.8411707457552755,1.2036551178570662
5,16,0.2,0.9674659124913414,1.447760812337304
5,32,0.05,0.7370375600933194,1.2873761790881262
5,32,0.2,0.7978508624627046,1.4620296101642563
5,64,0.05,1.5825134539881562,1.7934228189716188
5,64,0.2,1.2668311776675458,1.9381107400483497
10,1,0.05,0.49480581054739864,0.5896244277849317
10,1,0.2,0.5248398158882915,0.608242911110045
10,2,0.05,0.5425232032017793,0.6265196257565027
10,2,0.2,0.6169564396987437,0.7211790793055389
10,4,0.05,0.7911233766242104,0.9099549770430574
10,4,0.2,0.7765359733182513,0.8200182750409054
10,8,0.05,0.9352185152142745,1.0551564747221507
10,8,0.2,0.8862990814690286,1.0599577576070573
10,16,0.05,0.6789331280450104,0.9089907577419295
10,16,0.2,0.9532804850921653,1.2026210419737862
10,32,0.05,0.9702799991477709,1.3478820026578362
10,32,0.2,0.8517568895187414,1.0833544076847221
10,64,0.05,0.9051937193523577,1.314540485188467
10,64,0.2,1.134975209323185,1.5557509204294313
20,1,0.05,0.5134317890032207,0.5621686833007304
20,1,0.2,0.5376759078220322,0.5956425722582174
20,2,0.05,0.6266506590377012,0.6682486518470826
20,2,0.2,0.5668324215634611,0.6158969577356087
20,4,0.05,0.6141258992669687,0.6743636748228902
20,4,0.2,0.8556979682851975,0.8469070620130347
20,8,0.05,0.9588796468109156,1.0202699081816575
20,8,0.2,1.0817826816596656,1.0858063574037682
20,16,0.05,1.1004742876603604,1.163252550191829
20,16,0.2,0.9390713012683256,1.0493848832660597
20,32,0.05,0.9185952071629875,1.069758917707233
20,32,0.2,1.269697448139285,1.346214407419381
20,64,0.05,1.1779259962456679,1.4892494230487006
20,64,0.2,1.2928654786194764,1.8095441510965542
50,1,0.05,0.5264606895491717,0.5338166742257849
50,1,0.2,0.5613139248584713,0.5769692448081589
50,2,0.05,0.6488785754226736,0.6361595065729733
50,2,0.2,0.6902465942754398,0.6908076073122028
50,4,0.05,0.6574125081726991,0.6748075309623238
50,4,0.2,0.9559137057023733,0.9418147870301625
50,8,0.05,1.0874471791239642,1.0706718689507049
50,8,0.2,1.0062481484848909,1.0091186392879627
50,16,0.05,1.1567738811825337,1.171384809699197
50,16,0.2,0.9419595345277025,0.9606342487855974
50,32,0.05,1.320402918785947,1.4287492938040032
50,32,0.2,1.2693855356006902,1.3164506387744432
50,64,0.05,1.2027155670303302,1.2646955930333668
50,64,0.2,1.6618048378836796,1.7375464918471923
100,1,0.05,0.550231386631469,0.5515816758541533
100,1,0.2,0.581385502951534,0.5763286337942221
100,2,0.05,0.6480712101130384,0.6710755519612818
100,2,0.2,0.6671689321112854,0.667578351968047
100,4,0.05,0.8101207640135315,0.8306513047914525
100,4,0.2,0.9671945840661266,0.9914666141679376
100,8,0.05,0.8520223978140221,0.8767776039175201
100,8,0.2,1.0249704165370277,1.0114187253142533
100,16,0.05,0.8818768867656932,0.8792174279035109
100,16,0.2,0.9817721171855152,0.9840087354822521
100,32,0.05,1.4374134521868742,1.488947600957845
100,32,0.2,0.9426952995264061,0.998960542705578
100,64,0.05,1.3025789198330664,1.378942431663021
100,64,0.2,1.0872643019404358,1.1333148581731334
200,1,0.05,0.5587647735775338,0.5647225400514004
200,1,0.2,0.5926206019917631,0.5878686982462771
200,2,0.05,0.5988069140939326,0.6003761461888082
200,2,0.2,0.7001340109216201,0.6994850391620417
200,4,0.05,0.8941412606502577,0.9019289098883645
200,4,0.2,0.8605854478650921,0.8571553458218317
200,8,0.05,0.7886447220709701,0.8112256544108756
200,8,0.2,1.1138856992926325,1.1185583177456648
200,16,0.05,1.1850658815782458,1.2211972166402871
200,16,0.2,1.1985196921197963,1.1992244426450043
200,32,0.05,1.1096319750817774,1.119427853615872
200,32,0.2,1.4186750084949273,1.4534363262687764
200,64,0.05,1.3236044760809877,1.3455086663808138
200,64,0.2,1.4227418296375978,1.4276793033237285
