N,d,sigma,Ein,Eout
2,1,0.05,0.4973445033929921,1.5007081850695567
2,1,0.2,0.6822210758074418,1.5735364417296753
2,2,0.05,0.6135178703170062,1.339280996074975
2,2,0.2,0.7397609463534947,1.9173696094966477
2,4,0.05,0.9675726719628698,2.4385350193350965
2,4,0.2,1.019982954393403,3.877884590763488
2,8,0.05,0.9580492548514654,3.2668718111586905
2,8,0.2,1.3427235757143927,4.912970100737246
2,16,0.05,1.6316995564424852,5.379981919372933
2,16,0.2,1.7377813219990554,4.822739238482625
2,32,0.05,1.7579588910709452,4.988552180375006
2,32,0.2,41.84777932157108,21.134501275500817
2,64,0.05,2.3496593934868435,7.0437305600749776
2,64,0.2,1.539386298159287,4.06653645627261
5,1,0.05,0.5433681806787007,0.7342362863351712
5,1,0.2,0.7868876744316401,0.9323799346614716
5,2,0.05,1.1142772948771933,1.4168506376666294
5,2,0.2,0.9268367863289229,1.3529822097952282
5,4,0.05,3.146124346341276,3.6786990921826237
5,4,0.2,0.9912954961464275,1.7069784520683802
5,8,0.05,1.9874780728696415,3.0191660619040888
5,8,0.2,1.8034490427238665,3.0032166270166645
5,16,0.05,1.9049150553174763,4.213369172397113
5,16,0.2,2.8175239233934786,5.421215107926076
5,32,0.05,1.5330972415486275,3.8885096506213364
5,32,0.2,1.6906470547244445,5.642998648375296
5,64,0.05,13.082366432443354,13.487324773122928
5,64,0.2,2.0189142596096663,7.612013589717337
10,1,0.05,0.7981448235185917,0.8259058678148375
10,1,0.2,0.7017253729521202,0.8010355756516977
10,2,0.05,0.7575105452015404,0.9738105825026305
10,2,0.2,0.8690774081170257,1.1333108135356142
10,4,0.05,1.8769321162349886,2.24364527587999
10,4,0.2,1.7447673544505542,2.063992784567543
10,8,0.05,2.3079554900783057,2.9140419441982157
10,8,0.2,2.7468635182258403,3.819059519981719
10,16,0.05,4.709691005103038,5.801018625860661
10,16,0.2,3.6689915683325576,5.189631479052626
10,32,0.05,2.725485478209845,4.841322560985031
10,32,0.2,3.509321707326242,6.5768804708439434
10,64,0.05,3.0431068328492135,7.13220273156375
10,64,0.2,38.03461799503476,16.933114611012936
20,1,0.05,0.8180185906805936,0.8184909021947803
20,1,0.2,0.7816992551260242,0.8059921647231764
20,2,0.05,1.1360399635202045,1.1083904368061117
20,2,0.2,1.1024102908063582,1.1584033113292103
20,4,0.05,1.8449886818677237,2.0360362984756826
20,4,0.2,1.8437314941344707,1.981851068355488
20,8,0.05,2.529640806798468,3.7932571382181584
20,8,0.2,2.792591170608401,3.1809413291198774
20,16,0.05,3.9678958717540795,4.863669709707448
20,16,0.2,2.425425808706011,2.7706532493373586
20,32,0.05,3.328180890436798,4.867905860128738
20,32,0.2,4.163314453024614,5.230211672361585
20,64,0.05,2.5780947370749163,4.686147531331957
20,64,0.2,4.593225109045929,6.443391853836348
50,1,0.05,0.7245973988273843,0.7218520962443281
50,1,0.2,0.7312239847608234,0.7388813049202859
50,2,0.05,0.9883079854768643,1.0206411124277788
50,2,0.2,1.193202733025576,1.2373941420143972
50,4,0.05,1.8080108342957188,1.8820260218809297
50,4,0.2,2.1036730047326335,2.138993549723491
50,8,0.05,2.491361578976371,2.530351720410152
50,8,0.2,3.1733023037168335,3.3165814036048245
50,16,0.05,3.639056231109544,3.8518959536328277
50,16,0.2,3.8782456336617144,3.9235097240985057
50,32,0.05,3.83247315587937,4.522809838095641
50,32,0.2,2.7399522607104685,3.3155112891880636
50,64,0.05,8.730666267322167,9.425151478368083
50,64,0.2,3.5145338617255346,5.151451444262279
100,1,0.05,0.728419784463069,0.7359665442742049
100,1,0.2,0.7479108430747675,0.7517905447665248
100,2,0.05,1.1522366444902874,1.1276136887748083
100,2,0.2,1.1079608118546576,1.1176994953110553
100,4,0.05,1.912530919605756,1.9645410620124582
100,4,0.2,1.881581425092611,1.9442420149289397
100,8,0.05,3.584400743616482,3.6321182263150917
100,8,0.2,2.6493240622203174,2.698871230092922
100,16,0.05,3.091896576615505,3.2247653605142403
100,16,0.2,3.9929663833246622,4.1296667169555885
100,32,0.05,4.195368391814589,4.260928460267507
100,32,0.2,4.781984094330607,5.016893664059804
100,64,0.05,3.6194369039399703,4.22159928721384
100,64,0.2,6.523455677895762,6.210028555692475
200,1,0.05,0.6607824256904331,0.6705660858280418
200,1,0.2,0.7103663153833172,0.7109477861793283
200,2,0.05,0.95502448098956,0.9671329150859966
200,2,0.2,0.9883804479618302,0.9945255550858212
200,4,0.05,1.4308869974928102,1.4492463873245485
200,4,0.2,2.0463956785511987,2.055817428132122
200,8,0.05,3.1444093348147812,3.205905792711231
200,8,0.2,4.005263869276994,3.9279774991235157
200,16,0.05,2.789204988456874,2.874574982016092
200,16,0.2,4.255863934939783,4.471075119297925
200,32,0.05,4.435186074030303,4.7542651667424245
200,32,0.2,4.914978205521006,5.275842209442382
200,64,0.05,6.7863849800623255,7.447084600316937
200,64,0.2,4.9314235162067686,5.0130301245327304
